error,original_rt,smiles,true_rt,mol_index,target_min,target_max,n_cfs_generated,n_cfs_causal_valid,validity_unconstrained,sparsity_unconstrained,proximity_unconstrained,causal_score_unconstrained,causal_rate_unconstrained,diversity_unconstrained,validity_constrained,sparsity_constrained,proximity_constrained,causal_score_constrained,causal_rate_constrained,diversity_constrained
No counterfactuals found for any of the query points! Kindly check your configuration.,2.7079336643218994,CN,2.64,1138,,,,,,,,,,,,,,,,
No counterfactuals found for any of the query points! Kindly check your configuration.,4.572300910949707,CCN,4.67,1159,,,,,,,,,,,,,,,,
,7.165,CCNCC,6.94,1174,3.165,5.165,5.0,5.0,1.0,1.8,35.6302,0.9852,1.0,4.212,1.0,1.8,35.6302,0.9852,1.0,4.212
,8.894,ClCCl,9.12,1569,4.894,6.894,5.0,5.0,1.0,1.6,45.6151,0.9778,1.0,6.0179,1.0,1.6,45.6151,0.9778,1.0,6.0179
,10.6391,CCN(CC)CC,10.25,1187,6.6391,8.6391,5.0,1.0,0.8,4.8,40.786,0.8222,0.2,40.9503,1.0,6.0,90.5088,0.8889,1.0,
,11.3674,CCCCCC,11.63,215,7.3674,9.3674,5.0,5.0,1.0,3.6,46.5896,0.9482,1.0,47.6191,1.0,3.6,46.5896,0.9482,1.0,47.6191
,15.0959,CCCCOC(C)=O,14.47,931,11.0959,13.0959,5.0,5.0,1.0,1.6,57.8125,0.9778,1.0,44.3085,1.0,1.6,57.8125,0.9778,1.0,44.3085
,14.4546,Cc1ccccc1,14.67,25,10.4546,12.4546,5.0,5.0,1.0,2.0,23.7229,0.9333,1.0,20.0221,1.0,2.0,23.7229,0.9333,1.0,20.0221
,16.4617,Cc1cccc(C)c1,16.58,106,12.4617,14.4617,5.0,5.0,1.0,1.8,21.1822,0.9037,1.0,11.9644,1.0,1.8,21.1822,0.9037,1.0,11.9644
,16.9274,CC(=O)c1ccccc1,18.7,706,12.9274,14.9274,5.0,5.0,0.2,1.2,43.8612,0.9481,1.0,62.8655,0.2,1.2,43.8612,0.9481,1.0,62.8655
,21.6251,Ic1ccccc1,21.44,1482,17.6251,19.6251,5.0,5.0,1.0,1.6,41.7312,0.9259,1.0,62.0118,1.0,1.6,41.7312,0.9259,1.0,62.0118
,22.772,CCCCCCCCCC,23.24,290,18.772,20.772,5.0,5.0,1.0,1.4,39.0821,0.9407,1.0,44.5578,1.0,1.4,39.0821,0.9407,1.0,44.5578
,22.6145,O=C(c1ccccc1)c2ccccc2,24.55,721,18.6145,20.6145,5.0,5.0,1.0,2.0,43.304,0.8889,1.0,53.9672,1.0,2.0,43.304,0.8889,1.0,53.9672
,26.9374,c1ccc2cc3ccccc3cc2c1,25.99,171,22.9374,24.9374,5.0,5.0,0.6,1.2,43.0238,0.9482,1.0,68.3163,0.6,1.2,43.0238,0.9482,1.0,68.3163
,26.9374,c1ccc2cc3ccccc3cc2c1,28.8,166,22.9374,24.9374,5.0,5.0,1.0,1.6,29.4617,0.9333,1.0,57.9693,1.0,1.6,29.4617,0.9333,1.0,57.9693
,29.5896,O=C(c1ccccc1)c2ccccc2,30.58,727,25.5896,27.5896,5.0,5.0,1.0,1.6,17.8863,0.9333,1.0,31.8239,1.0,1.6,17.8863,0.9333,1.0,31.8239
,31.5054,c1ccc2c(c1)ccc3ccccc32,31.76,198,27.5054,29.5054,5.0,5.0,1.0,1.8,45.7305,0.9259,1.0,51.0958,1.0,1.8,45.7305,0.9259,1.0,51.0958
,37.4825,c1ccc(cc1)c2ccc(cc2)c3ccccc3,37.68,1899,33.4825,35.4825,5.0,5.0,1.0,1.8,26.7633,0.9408,1.0,35.1454,1.0,1.8,26.7633,0.9408,1.0,35.1454
