SMILES,RT,Column,TempProgram,FlowRate,compound_name,compound_class,column_id,carrier_gas,version,dataset
c1ccccc1,10.84,ZB-5,60-280C at 10C/min,1.0,Benzene,Aromatic Hydrocarbon,7,Helium,v3_2000,synthetic_v3_2000
c1ccccc1,12.71,BPX5,60-280C at 10C/min,1.0,Benzene,Aromatic Hydrocarbon,20,Helium,v3_2000,synthetic_v3_2000
c1ccccc1,14.01,DB-17,60-280C at 10C/min,1.0,Benzene,Aromatic Hydrocarbon,15,Helium,v3_2000,synthetic_v3_2000
c1ccccc1,19.89,DB-WAX,40-240C at 8C/min,1.0,Benzene,Aromatic Hydrocarbon,11,Helium,v3_2000,synthetic_v3_2000
c1ccccc1,10.86,DB-1,60-280C at 10C/min,1.0,Benzene,Aromatic Hydrocarbon,8,Helium,v3_2000,synthetic_v3_2000
c1ccccc1,13.26,ZB-5,60-280C at 10C/min,1.0,Benzene,Aromatic Hydrocarbon,7,Helium,v3_2000,synthetic_v3_2000
c1ccccc1,5.75,DB-VRX,40-260C at 15C/min,1.5,Benzene,Aromatic Hydrocarbon,19,Helium,v3_2000,synthetic_v3_2000
c1ccccc1,20.41,DB-WAX,40-240C at 8C/min,1.0,Benzene,Aromatic Hydrocarbon,11,Helium,v3_2000,synthetic_v3_2000
c1ccccc1,20.47,DB-WAX,40-240C at 8C/min,1.0,Benzene,Aromatic Hydrocarbon,11,Helium,v3_2000,synthetic_v3_2000
c1ccccc1,12.85,HP-5MS,60-280C at 10C/min,1.0,Benzene,Aromatic Hydrocarbon,4,Helium,v3_2000,synthetic_v3_2000
c1ccccc1,11.55,DB-1,60-280C at 10C/min,1.0,Benzene,Aromatic Hydrocarbon,8,Helium,v3_2000,synthetic_v3_2000
c1ccccc1,15.4,DB-5,50-280C at 8C/min,1.0,Benzene,Aromatic Hydrocarbon,3,Helium,v3_2000,synthetic_v3_2000
c1ccccc1,6.89,DB-5,60-300C at 15C/min,1.2,Benzene,Aromatic Hydrocarbon,2,Helium,v3_2000,synthetic_v3_2000
c1ccccc1,12.11,SPB-1,60-280C at 10C/min,1.0,Benzene,Aromatic Hydrocarbon,12,Helium,v3_2000,synthetic_v3_2000
c1ccccc1,12.25,Rtx-5,60-280C at 10C/min,1.0,Benzene,Aromatic Hydrocarbon,6,Helium,v3_2000,synthetic_v3_2000
c1ccccc1,6.84,DB-5,60-300C at 15C/min,1.2,Benzene,Aromatic Hydrocarbon,2,Helium,v3_2000,synthetic_v3_2000
c1ccccc1,11.88,DB-5,60-280C at 10C/min,1.0,Benzene,Aromatic Hydrocarbon,1,Helium,v3_2000,synthetic_v3_2000
c1ccccc1,11.27,SPB-1,60-280C at 10C/min,1.0,Benzene,Aromatic Hydrocarbon,12,Helium,v3_2000,synthetic_v3_2000
c1ccccc1,12.28,SPB-1,60-280C at 10C/min,1.0,Benzene,Aromatic Hydrocarbon,12,Helium,v3_2000,synthetic_v3_2000
c1ccccc1,15.98,DB-624,40-250C at 10C/min,1.0,Benzene,Aromatic Hydrocarbon,17,Nitrogen,v3_2000,synthetic_v3_2000
Cc1ccccc1,14.0,DB-1,60-280C at 10C/min,1.0,Toluene,Aromatic Hydrocarbon,8,Helium,v3_2000,synthetic_v3_2000
